depth_m,b59_ang201,b60_ang201,b61_ang201,b62_ang201,b65_ang201,b67_ang201,b73_ang201,b74_ang201,b76_ang201,b78_ang201
0.600456,0.0289031,0.0292523,0.027642,0.0264483,0.02398,0.0219147,0.0118431,0.0126188,0.0124615,0.0125965
0.600456,0.0345601,0.0342117,0.0334029,0.032059,0.028534,0.0258526,0.0132816,0.0134367,0.0131325,0.0132815
0.600456,0.0365469,0.0363244,0.0346994,0.0339458,0.0307657,0.0278446,0.0137436,0.0139762,0.0148847,0.0145947
0.600456,0.037481,0.0372541,0.0364818,0.0355876,0.0312259,0.0302135,0.0139195,0.013799,0.0140054,0.0142841
0.600456,0.0349998,0.0361193,0.0329278,0.033446,0.0295236,0.0275982,0.014562,0.0157861,0.0155137,0.0153361
0.600456,0.036041,0.0370668,0.0345055,0.0343962,0.0298205,0.0275161,0.0135296,0.0147501,0.0146108,0.0144459
0.600456,0.0369381,0.0371491,0.0360621,0.034958,0.0306441,0.027979,0.0133457,0.0137353,0.0141267,0.0144782
0.600456,0.0354838,0.0361453,0.034173,0.034723,0.0292236,0.0260534,0.0119241,0.0132663,0.0124804,0.012396
0.600456,0.0351842,0.0352246,0.0343815,0.0326841,0.0275887,0.0249697,0.0123148,0.0120283,0.0121559,0.0121769
0.600456,0.0337569,0.0352949,0.0335558,0.0344216,0.0285788,0.0247408,0.0109238,0.01215,0.0123867,0.0120734
0.600456,0.0354804,0.0359394,0.0336094,0.033536,0.0285196,0.024297,0.0121013,0.0123713,0.01191,0.0120364
0.600456,0.0336035,0.0327864,0.0311103,0.0302984,0.025452,0.0231102,0.0108856,0.0107239,0.0115813,0.0116739
0.600456,0.0339891,0.0341647,0.0324173,0.032341,0.0273897,0.024867,0.0116769,0.0123776,0.0117633,0.0121075
0.600456,0.0330193,0.0328746,0.0317516,0.0313618,0.0267387,0.0232383,0.0113658,0.0112073,0.0111574,0.0115822
0.600456,0.0357937,0.0354043,0.0344006,0.0337953,0.0293111,0.0257453,0.0107599,0.0122917,0.0120675,0.0122069
